,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,_Entire home/apt,_Private room,_Shared room
0,40.64749,-73.97237,5.0106352940962555,1,9,0.21,6,365,False,True,False
1,40.75362,-73.98377,5.420534999272286,1,45,0.38,2,355,True,False,False
3,40.68514,-73.95976,4.499809670330265,1,270,4.64,1,194,True,False,False
4,40.79851,-73.94399,4.394449154672439,10,9,0.1,1,0,True,False,False
5,40.74767,-73.975,5.303304908059076,3,74,0.59,1,129,True,False,False
6,40.68688,-73.95596,4.110873864173311,45,49,0.4,1,0,False,True,False
7,40.76489,-73.98493,4.382026634673881,2,430,3.47,1,220,False,True,False
8,40.80178,-73.96723,4.382026634673881,2,118,0.99,1,0,False,True,False
9,40.71344,-73.99037,5.017279836814924,1,160,1.33,4,188,True,False,False
10,40.80316,-73.96545,4.912654885736052,5,53,0.43,1,6,True,False,False
11,40.76076,-73.98867,4.454347296253507,2,188,1.5,1,39,False,True,False
12,40.66829,-73.98779,4.499809670330265,4,167,1.34,3,314,False,True,False
13,40.79826,-73.96113,4.454347296253507,2,113,0.91,1,333,False,True,False
14,40.7353,-74.00525,4.795790545596741,90,27,0.22,1,0,True,False,False
15,40.70837,-73.95352,4.948759890378168,2,148,1.2,1,46,True,False,False
16,40.69169,-73.97185,5.375278407684165,2,198,1.72,1,321,True,False,False
17,40.74192,-73.99501,4.948759890378168,1,260,2.12,1,12,False,True,False
18,40.67592,-73.94694,4.605170185988092,3,53,4.44,1,21,True,False,False
20,40.71842,-73.95718,5.703782474656201,3,9,0.07,1,0,True,False,False
21,40.68069,-73.97706,4.875197323201151,2,130,1.09,6,347,False,True,False
22,40.67989,-73.97798,4.394449154672439,1,39,0.37,6,364,False,True,False
23,40.68001,-73.97865,4.709530201312334,2,71,0.61,6,304,False,True,False
24,40.68371,-73.94028,4.795790545596741,2,88,0.73,2,233,True,False,False
25,40.65599,-73.97519,4.110873864173311,1,19,1.37,2,85,False,True,False
27,40.76715,-73.98533,5.017279836814924,10,58,0.49,1,75,True,False,False
28,40.86482,-73.92106,3.8066624897703196,3,108,1.11,3,311,False,True,False
29,40.7292,-73.98542,5.198497031265826,14,29,0.24,1,67,True,False,False
30,40.82245,-73.95104,3.9318256327243257,3,242,2.04,3,355,False,True,False
31,40.81305,-73.95466,3.970291913552122,2,88,1.42,1,255,False,True,False
32,40.72219,-73.93762,4.02535169073515,4,197,1.65,3,284,False,True,False
33,40.8213,-73.95318,3.9318256327243257,3,273,2.37,3,359,False,True,False
34,40.6831,-73.95473,4.2626798770413155,1,74,0.66,2,269,False,True,False
35,40.66869,-73.9878,4.499809670330265,4,168,1.41,3,340,False,True,False
37,40.70186,-73.92745,4.454347296253507,2,231,1.96,2,22,True,False,False
39,40.71401,-73.98917,3.713572066704308,1,214,1.81,4,188,False,False,True
40,40.7229,-73.98199,4.23410650459726,2,245,2.08,2,96,False,True,False
41,40.66278,-73.97966,4.795790545596741,3,15,0.39,1,345,True,False,False
42,40.69673,-73.97584,4.795790545596741,7,25,0.23,1,311,False,True,False
43,40.79009,-73.97927,4.912654885736052,4,81,0.69,1,273,False,True,False
44,40.81175,-73.94478,5.017279836814924,7,97,0.84,1,309,True,False,False
